Scope1,Absolute Time
-0.649525,3568277516.811477
-1.000000,3568277516.821478
-1.000000,3568277516.831478
-1.000000,3568277516.841480
-1.000000,3568277516.851479
-1.000000,3568277516.861479
-1.000000,3568277516.871480
-1.000000,3568277516.881480
-1.000000,3568277516.891477
-1.000000,3568277516.901482
-1.000000,3568277516.911480
-1.000000,3568277516.921481
-1.000000,3568277516.931481
-1.000000,3568277516.941482
-1.000000,3568277516.951481
-1.000000,3568277516.961483
-1.000000,3568277516.971483
-1.000000,3568277516.981483
-1.000000,3568277516.991479
-1.000000,3568277517.001482
-1.000000,3568277517.011483
-1.000000,3568277517.021484
-1.000000,3568277517.031485
-1.000000,3568277517.041484
-1.000000,3568277517.051484
-1.000000,3568277517.061485
-1.000000,3568277517.071486
-1.000000,3568277517.081486
-1.000000,3568277517.091482
-1.000000,3568277517.101486
-1.000000,3568277517.111486
-1.000000,3568277517.121486
-1.000000,3568277517.131487
-1.000000,3568277517.141488
-1.000000,3568277517.151487
-1.000000,3568277517.161488
-1.000000,3568277517.171488
-1.000000,3568277517.181489
-1.000000,3568277517.191486
-1.000000,3568277517.201489
-1.000000,3568277517.211490
-0.752617,3568277517.221489
-0.597980,3568277517.231490
-0.515488,3568277517.241490
-0.443342,3568277517.251491
-0.381481,3568277517.261491
-0.329936,3568277517.271491
-0.288675,3568277517.281491
-0.247444,3568277517.291488
-0.247444,3568277517.301492
-0.237129,3568277517.311491
-0.195898,3568277517.321493
-0.144353,3568277517.331493
-0.103122,3568277517.341493
-0.030946,3568277517.351492
0.000000,3568277517.361493
0.000000,3568277517.371494
0.000000,3568277517.381495
0.000000,3568277517.391490
0.103092,3568277517.401494
0.103092,3568277517.411495
0.237098,3568277517.421495
0.350505,3568277517.431493
0.443312,3568277517.441497
0.443312,3568277517.451495
0.546403,3568277517.461496
0.649495,3568277517.471496
0.773217,3568277517.481498
0.907224,3568277517.491494
0.907224,3568277517.501499
1.000000,3568277517.511497
1.000000,3568277517.521497
1.000000,3568277517.531498
1.000000,3568277517.541499
1.000000,3568277517.551499
1.000000,3568277517.561500
1.000000,3568277517.571498
1.000000,3568277517.581499
1.000000,3568277517.591497
1.000000,3568277517.601500
1.000000,3568277517.611500
1.000000,3568277517.621501
1.000000,3568277517.631501
1.000000,3568277517.641501
1.000000,3568277517.651501
1.000000,3568277517.661501
1.000000,3568277517.671502
1.000000,3568277517.681504
1.000000,3568277517.691500
1.000000,3568277517.701503
1.000000,3568277517.711503
1.000000,3568277517.721503
1.000000,3568277517.731503
1.000000,3568277517.741505
1.000000,3568277517.751503
1.000000,3568277517.761505
1.000000,3568277517.771505
1.000000,3568277517.781505
1.000000,3568277517.791502
1.000000,3568277517.801507
1.000000,3568277517.811505
1.000000,3568277517.821506
1.000000,3568277517.831506
1.000000,3568277517.841507
1.000000,3568277517.851507
1.000000,3568277517.861509
1.000000,3568277517.871508
1.000000,3568277517.881507
1.000000,3568277517.891505
1.000000,3568277517.901509
1.000000,3568277517.911508
1.000000,3568277517.921510
0.989715,3568277517.931509
0.989715,3568277517.941510
0.927854,3568277517.951510
0.927854,3568277517.961511
0.865993,3568277517.971510
0.783502,3568277517.981512
0.701041,3568277517.991508
0.608264,3568277518.001511
0.515458,3568277518.011511
0.515458,3568277518.021512
0.412366,3568277518.031513
0.278329,3568277518.041513
0.123692,3568277518.051513
0.000000,3568277518.061512
0.000000,3568277518.071514
-0.092807,3568277518.081513
-0.247444,3568277518.091510
-0.319620,3568277518.101515
-0.319620,3568277518.111514
-0.350536,3568277518.121515
-0.360851,3568277518.131514
-0.371166,3568277518.141516
-0.371166,3568277518.151515
-0.360851,3568277518.161517
-0.350536,3568277518.171516
-0.350536,3568277518.181517
-0.329936,3568277518.191513
-0.329936,3568277518.201517
-0.309305,3568277518.211517
-0.309305,3568277518.221519
-0.288675,3568277518.231518
-0.288675,3568277518.241520
-0.268075,3568277518.251518
-0.257759,3568277518.261518
-0.257759,3568277518.271520
-0.247444,3568277518.281520
-0.237129,3568277518.291517
-0.237129,3568277518.301519
-0.237129,3568277518.311520
-0.237129,3568277518.321520
-0.237129,3568277518.331521
-0.226814,3568277518.341522
-0.206214,3568277518.351521
-0.185583,3568277518.361521
-0.185583,3568277518.371524
-0.175268,3568277518.381521
-0.164983,3568277518.391520
-0.164983,3568277518.401525
-0.144353,3568277518.411523
-0.123722,3568277518.421524
-0.103122,3568277518.431522
-0.082492,3568277518.441524
-0.072176,3568277518.451524
-0.072176,3568277518.461525
-0.061861,3568277518.471524
-0.051576,3568277518.481525
-0.041261,3568277518.491523
-0.030946,3568277518.501525
-0.030946,3568277518.511526
-0.030946,3568277518.521527
-0.020631,3568277518.531526
-0.020631,3568277518.541526
-0.020631,3568277518.551527
-0.020631,3568277518.561527
-0.020631,3568277518.571527
-0.020631,3568277518.581528
-0.010315,3568277518.591525
-0.010315,3568277518.601528
0.000000,3568277518.611528
0.000000,3568277518.621529
0.000000,3568277518.631529
0.000000,3568277518.641530
0.000000,3568277518.651530
0.000000,3568277518.661529
0.000000,3568277518.671531
0.000000,3568277518.681530
0.000000,3568277518.691528
-0.010315,3568277518.701531
-0.010315,3568277518.711531
-0.010315,3568277518.721531
-0.010315,3568277518.731531
-0.010315,3568277518.741533
-0.010315,3568277518.751533
-0.010315,3568277518.761533
-0.010315,3568277518.771533
-0.010315,3568277518.781533
-0.010315,3568277518.791530
-0.010315,3568277518.801534
-0.010315,3568277518.811534
-0.010315,3568277518.821535
-0.010315,3568277518.831534
-0.010315,3568277518.841536
-0.010315,3568277518.851535
-0.010315,3568277518.861536
-0.020631,3568277518.871537
-0.020631,3568277518.881537
-0.020631,3568277518.891533
-0.020631,3568277518.901536
-0.020631,3568277518.911537
-0.020631,3568277518.921537
-0.020631,3568277518.931537
-0.020631,3568277518.941539
-0.020631,3568277518.951537
-0.020631,3568277518.961538
-0.020631,3568277518.971539
-0.020631,3568277518.981539
-0.020631,3568277518.991536
-0.020631,3568277519.001541
-0.020631,3568277519.011540
-0.020631,3568277519.021540
-0.020631,3568277519.031540
-0.020631,3568277519.041541
-0.020631,3568277519.051540
-0.020631,3568277519.061542
-0.020631,3568277519.071541
-0.020631,3568277519.081541
-0.020631,3568277519.091540
-0.020631,3568277519.101542
-0.020631,3568277519.111543
-0.020631,3568277519.121544
-0.020631,3568277519.131543
-0.020631,3568277519.141543
-0.010315,3568277519.151543
-0.010315,3568277519.161544
-0.010315,3568277519.171544
-0.010315,3568277519.181546
-0.010315,3568277519.191542
-0.010315,3568277519.201546
-0.010315,3568277519.211545
-0.010315,3568277519.221545
-0.010315,3568277519.231546
-0.010315,3568277519.241548
-0.010315,3568277519.251545
-0.010315,3568277519.261546
-0.030946,3568277519.271547
-0.030946,3568277519.281548
-0.030946,3568277519.291544
-0.041261,3568277519.301548
-0.051576,3568277519.311548
-0.061861,3568277519.321549
-0.061861,3568277519.331548
-0.061861,3568277519.341549
-0.061861,3568277519.351550
-0.061861,3568277519.361551
-0.061861,3568277519.371550
-0.061861,3568277519.381550
-0.061861,3568277519.391547
-0.061861,3568277519.401550
-0.061861,3568277519.411550
-0.061861,3568277519.421552
-0.061861,3568277519.431550
-0.061861,3568277519.441551
-0.061861,3568277519.451551
-0.061861,3568277519.461553
-0.061861,3568277519.471552
-0.072176,3568277519.481555
-0.082492,3568277519.491549
-0.082492,3568277519.501553
-0.103122,3568277519.511554
-0.103122,3568277519.521554
-0.113407,3568277519.531555
-0.134037,3568277519.541555
-0.175268,3568277519.551555
-0.195898,3568277519.561555
-0.216529,3568277519.571556
-0.237129,3568277519.581556
-0.237129,3568277519.591554
-0.226814,3568277519.601558
-0.226814,3568277519.611556
-0.226814,3568277519.621558
-0.226814,3568277519.631557
-0.216529,3568277519.641557
-0.216529,3568277519.651557
-0.216529,3568277519.661559
-0.216529,3568277519.671559
-0.216529,3568277519.681558
-0.216529,3568277519.691556
-0.216529,3568277519.701559
-0.216529,3568277519.711559
-0.226814,3568277519.721560
-0.226814,3568277519.731561
-0.226814,3568277519.741560
-0.226814,3568277519.751561
-0.226814,3568277519.761561
-0.226814,3568277519.771561
-0.237129,3568277519.781563
-0.237129,3568277519.791558
-0.247444,3568277519.801562
-0.247444,3568277519.811562
-0.257759,3568277519.821563
-0.257759,3568277519.831563
-0.268075,3568277519.841564
-0.278359,3568277519.851563
-0.288675,3568277519.861564
-0.288675,3568277519.871564
-0.278359,3568277519.881564
-0.288675,3568277519.891562
-0.288675,3568277519.901567
-0.288675,3568277519.911565
-0.288675,3568277519.921566
-0.288675,3568277519.931565
-0.288675,3568277519.941566
-0.288675,3568277519.951566
-0.288675,3568277519.961568
-0.288675,3568277519.971567
-0.288675,3568277519.981567
-0.288675,3568277519.991565
-0.288675,3568277520.001567
-0.288675,3568277520.011569
-0.288675,3568277520.021569
-0.288675,3568277520.031569
-0.288675,3568277520.041569
-0.298990,3568277520.051569
-0.298990,3568277520.061569
-0.309305,3568277520.071569
-0.309305,3568277520.081572
-0.319620,3568277520.091567
-0.319620,3568277520.101570
-0.319620,3568277520.111571
-0.319620,3568277520.121572
-0.319620,3568277520.131571
-0.319620,3568277520.141572
-0.319620,3568277520.151571
-0.319620,3568277520.161571
-0.319620,3568277520.171572
-0.319620,3568277520.181572
-0.319620,3568277520.191570
-0.319620,3568277520.201574
-0.319620,3568277520.211574
-0.319620,3568277520.221573
-0.319620,3568277520.231574
-0.309305,3568277520.241574
-0.298990,3568277520.251575
-0.298990,3568277520.261576
-0.298990,3568277520.271575
-0.288675,3568277520.281575
-0.288675,3568277520.291572
-0.278359,3568277520.301576
-0.288675,3568277520.311576
-0.288675,3568277520.321578
-0.298990,3568277520.331577
-0.309305,3568277520.341578
-0.309305,3568277520.351577
-0.329936,3568277520.361578
-0.329936,3568277520.371577
-0.350536,3568277520.381579
-0.350536,3568277520.391574
-0.350536,3568277520.401578
-0.350536,3568277520.411579
-0.350536,3568277520.421580
-0.340220,3568277520.431577
-0.340220,3568277520.441581
-0.340220,3568277520.451580
-0.340220,3568277520.461581
-0.340220,3568277520.471581
-0.340220,3568277520.481582
-0.340220,3568277520.491579
-0.340220,3568277520.501582
-0.340220,3568277520.511583
-0.340220,3568277520.521583
-0.340220,3568277520.531582
-0.340220,3568277520.541583
-0.340220,3568277520.551582
-0.340220,3568277520.561584
-0.350536,3568277520.571584
-0.350536,3568277520.581583
-0.350536,3568277520.591581
-0.350536,3568277520.601584
-0.350536,3568277520.611585
-0.350536,3568277520.621586
-0.350536,3568277520.631586
-0.360851,3568277520.641585
-0.371166,3568277520.651586
-0.412397,3568277520.661586
-0.433027,3568277520.671587
-0.433027,3568277520.681588
-0.453627,3568277520.691584
-0.453627,3568277520.701587
-0.463942,3568277520.711587
-0.474258,3568277520.721588
-0.484573,3568277520.731588
-0.494888,3568277520.741590
-0.494888,3568277520.751587
-0.494888,3568277520.761589
-0.494888,3568277520.771590
-0.494888,3568277520.781590
-0.494888,3568277520.791587
-0.494888,3568277520.801591
-0.494888,3568277520.811590
-0.494888,3568277520.821590
-0.494888,3568277520.831591
-0.494888,3568277520.841591
-0.494888,3568277520.851592
-0.494888,3568277520.861593
-0.494888,3568277520.871592
-0.484573,3568277520.881592
-0.484573,3568277520.891589
